"tournament","tournament_group","overviewpage","team","nplayerinteam","player","role","flag"
"Worlds 2015","Worlds 2015","2015 Season World Championship","paiN Gaming",6,"MiT","Coach","Brazil"
"Worlds 2015","Worlds 2015","2015 Season World Championship","SK Telecom T1",1,"MaRin","Top","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","SK Telecom T1",2,"Bengi","Jungle","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","SK Telecom T1",3,"Faker","Mid","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","SK Telecom T1",4,"Easyhoon","Mid","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","SK Telecom T1",5,"Bang","Bot","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","SK Telecom T1",6,"Wolf (Lee Jae-wan)","Support","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","SK Telecom T1",7,"kkOma","Coach","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","TSM",1,"Dyrus","Top","United States"
"Worlds 2015","Worlds 2015","2015 Season World Championship","TSM",2,"Santorin","Jungle","Denmark"
"Worlds 2015","Worlds 2015","2015 Season World Championship","TSM",3,"Bjergsen","Mid","Denmark"
"Worlds 2015","Worlds 2015","2015 Season World Championship","TSM",4,"WildTurtle","Bot","Canada"
"Worlds 2015","Worlds 2015","2015 Season World Championship","TSM",5,"Lustboy","Support","South Korea"
"Worlds 2015","Worlds 2015","2015 Season World Championship","TSM",6,"Locodoco","Coach","South Korea"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ahq eSports Club",1,"Ziv (Chen Yi)","Top","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ahq eSports Club",2,"Mountain (Xue Zhao-Hong)","Jungle","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ahq eSports Club",3,"Westdoor","Mid","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ahq eSports Club",4,"Chawy","Mid","Singapore"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ahq eSports Club",5,"AN","Bot","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ahq eSports Club",6,"Albis","Support","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","ahq eSports Club",7,"GreenTea","Coach","Taiwan"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Albus NoX Luna",1,"Smurf (Dmitri Ivanov)","Top","Russia"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Albus NoX Luna",2,"PvPStejos","Jungle","Ukraine"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Albus NoX Luna",3,"Kira","Mid","Ukraine"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Albus NoX Luna",4,"aMiracle","Bot","Ukraine"
"Worlds 2016","Worlds 2016","2016 Season World Championship","Albus NoX Luna",5,"Likkrit","Support","Russia"
